epoch,train_loss,val_loss
1,1.9817167520523071,2.0423899054527284
2,1.9441649913787842,1.9019464433193207
3,1.8871515989303589,1.8527684390544892
4,1.8337197303771973,1.823962527513504
5,1.7292627096176147,1.782706618309021
6,1.7873507738113403,1.774505078792572
7,1.7796906232833862,1.751645213365555
8,1.7378695011138916,1.746116930246353
9,1.700165033340454,1.730711954832077
10,1.759568691253662,1.7146768927574159
11,1.693611741065979,1.7146924018859864
12,1.6624220609664917,1.722440356016159
13,1.7063452005386353,1.6964345276355743
14,1.7253048419952393,1.7026411592960358
15,1.6912657022476196,1.6985341131687164
16,1.605666995048523,1.713300883769989
17,1.6453232765197754,1.6873143672943116
18,1.6563494205474854,1.6918475925922394
19,1.6355960369110107,1.6994131743907928
20,1.7381752729415894,1.6916918516159059
21,1.6353014707565308,1.69640673995018
22,1.6961109638214111,1.6879164814949035
23,1.6015783548355103,1.6895081520080566
24,1.5792120695114136,1.6817249357700348
25,1.711990475654602,1.6792634904384613
26,1.605014681816101,1.6925155341625213
27,1.6690070629119873,1.6857073664665223
28,1.6106374263763428,1.6687983870506287
29,1.651127576828003,1.6740907728672028
30,1.6382291316986084,1.6811682641506196
31,1.6941165924072266,1.6772455394268035
32,1.6148593425750732,1.6587553858757018
33,1.6340991258621216,1.6762464702129365
34,1.6543481349945068,1.662509423494339
35,1.6942214965820312,1.6770151853561401
36,1.683719515800476,1.67394357919693
37,1.6260943412780762,1.6670130908489227
38,1.623551845550537,1.6732428431510926
39,1.6067694425582886,1.658370965719223
40,1.5914286375045776,1.66316819190979
41,1.565063238143921,1.6675466299057007
42,1.593917727470398,1.6663593113422395
43,1.6106913089752197,1.6567954182624818
44,1.6755801439285278,1.659330803155899
45,1.6353472471237183,1.6645811319351196
46,1.604758620262146,1.6753318369388581
47,1.5510972738265991,1.6463517606258393
48,1.5567396879196167,1.644117718935013
49,1.6864020824432373,1.6475816071033478
50,1.6490161418914795,1.6507034659385682
51,1.6182194948196411,1.643251931667328
52,1.5956447124481201,1.6485292792320252
53,1.6488072872161865,1.6523605108261108
54,1.6727879047393799,1.64944828748703
55,1.5878803730010986,1.6536347925662995
56,1.633785367012024,1.6538012266159057
57,1.5912697315216064,1.6496992588043213
58,1.6920312643051147,1.6638418078422545
59,1.6134836673736572,1.6472712755203247
60,1.5668351650238037,1.6419242680072785
61,1.6190361976623535,1.6519583463668823
62,1.5772747993469238,1.638693916797638
63,1.5573090314865112,1.6537426173686982
64,1.6188889741897583,1.6393505454063415
65,1.559469223022461,1.6551039397716523
66,1.6324169635772705,1.6443255960941314
67,1.6068581342697144,1.649961429834366
68,1.6432244777679443,1.6421405136585236
69,1.5793792009353638,1.6342865884304048
70,1.5747029781341553,1.6310137212276459
71,1.5887093544006348,1.6598477900028228
72,1.6562883853912354,1.6594103872776031
73,1.5773817300796509,1.6491916358470917
74,1.6203994750976562,1.6490208804607391
75,1.655789852142334,1.6474288344383239
76,1.5377808809280396,1.6429689466953277
77,1.5407265424728394,1.636678659915924
78,1.617591381072998,1.6401115238666535
79,1.6429493427276611,1.631190574169159
80,1.5887916088104248,1.6403434336185456
81,1.636850357055664,1.6378959536552429
82,1.5838669538497925,1.6241679728031158
83,1.5673635005950928,1.646763014793396
84,1.5741653442382812,1.6427925109863282
85,1.6130080223083496,1.6356594145298005
86,1.65855872631073,1.6330722630023957
87,1.592998743057251,1.6461405217647553
88,1.6371313333511353,1.6407879114151
89,1.640632152557373,1.6362313330173492
90,1.5807323455810547,1.6331438958644866
91,1.5953128337860107,1.6359796226024628
92,1.6054707765579224,1.6435247302055358
93,1.6050916910171509,1.6282802045345306
94,1.5755647420883179,1.6359189569950103
95,1.6316354274749756,1.6310238540172577
96,1.6423149108886719,1.6399448752403258
97,1.6113433837890625,1.6443128168582917
98,1.5177133083343506,1.6355348765850066
99,1.5994222164154053,1.6336299121379851
100,1.584991455078125,1.6340526342391968
